csfgID,ra,dec,X0,Y0,PA,ell,n,I_e,r_e,z,R_e_kpc,logMstars
11185,178.038284372073,4.57558978465057,122.2087,118.4184,55.6727,0.525158,0.478735,8.91548,0.009698591593152003,0.08716322,3.2629646679902287,10.001
11254,184.528363130442,1.88306915896554,118.9923,120.0442,-69.9998,0.2329,0.932868,8.75906,0.007079387060961599,0.0496473,1.4172274328197603,9.204
11258,153.630132537194,5.06709091491145,119.8806,120.1644,120.234,0.339191,1.06736,8.03658,0.006385476273422401,0.0448557,1.1616268739487785,
11344,185.247391657255,-0.650993328549028,119.7786,119.772,112.205,0.308418,1.13415,4.55271,0.008664599686512,0.07820489,2.643216304854522,
11407,148.946897600974,0.773149143341557,120.4479,119.488,-60.733,6.25106E-8,0.731011,6.58976,0.007728965292787198,0.06402612,1.9622940686104162,9.78
11471,172.014795867312,0.427106072369528,121.1644,120.2758,-6.68501,0.234365,1.10513,8.09362,0.0071277594747743995,0.02997898,0.8818080812845387,8.577
11548,157.615975301931,-0.969297581193331,120.5236,119.9158,49.5196,0.390809,1.16519,7.8071,0.009441376434336,0.0291895,1.1383376607037416,8.899
11589,6.5029572132384,-0.540447604520171,120.2308,120.0375,118.011,0.339569,1.45629,6.92609,0.0069222479837279995,0.06285898,1.7278991659090146,9.399
11635,162.176135860028,-0.814016919221767,120.3244,120.3843,64.2466,0.410745,1.30481,3.06751,0.010293167482752,0.07872036,3.158913744281189,
11657,219.60495882466,-0.188937668269868,119.5969,120.4219,-8.97433,0.364457,1.07195,5.06885,0.012091393029408,0.03361663,1.6703814403544506,8.999
11753,188.234807039717,2.37834577894924,119.9965,120.4211,7.84953,0.0905468,1.45747,9.47429,0.0058391261898816,0.07539789,1.722752224478798,9.823
11841,204.96445652791,-0.75307927005417,120.2756,120.6383,34.1074,0.44218,1.32853,16.3104,0.01052602946472,0.02227835,0.9770783793189302,9.141
11889,194.63486103689,1.40489681432702,119.7206,120.4017,0.610274,0.435231,1.42259,3.336,0.010445965341504002,0.1069882,4.216737299771966,9.93
12074,342.670193852876,0.499217000240416,120.2366,120.0906,49.6632,0.0864669,0.87272,5.624,0.0072635019648576,0.05387597,1.570220181692848,9.456
12094,26.7153320490143,-0.565014935181758,120.5143,120.3947,123.734,0.293038,1.2146,4.24253,0.009467521483728,0.05539814,2.100876423334864,9.327
12115,158.239534020662,5.16116546589974,119.3362,120.5753,80.0246,0.275683,0.833942,4.42375,0.009841208357904,0.02285429,0.9364041620133547,8.483
12164,1.14115307251202,-0.800780828125458,120.6599,119.4263,9.84569,0.242636,1.33472,2.76961,0.009342904893168,0.03232256,1.242830522841648,
12240,174.700534322215,-0.0937996700869776,119.8994,120.277,12.6958,0.345893,0.991526,8.08546,0.0071843989369152,0.04602138,1.3390137558393047,9.144
12255,181.479709976543,1.17252338258562,119.7281,119.8805,-61.6892,0.0,1.04181,6.27521,0.0064880691214416,0.07734366,1.9593288182616566,9.639
12266,352.235058259903,-1.08827713802111,120.2084,119.9387,-6.4628,0.520423,1.01478,18.7917,0.00937800930528,0.04249257,1.6209226664256051,9.627
12267,30.4011439554624,0.0955396208594778,120.2486,120.7108,16.6358,0.501128,1.25665,20.7394,0.008419031699231999,0.04322924,1.4790222980559962,9.274
12479,145.198689118499,0.932673012301021,119.4603,120.0089,-61.9941,0.337131,1.27632,4.15402,0.008630798454432001,0.06147218,2.1104538277028015,
12522,158.082935798785,3.95884093846824,120.2556,120.2792,-18.2114,0.266507,1.39717,3.93265,0.009722130282479998,0.02953594,1.1856135805603736,9.031
12541,172.110049773834,2.14568680261436,119.3059,119.9054,-15.7878,0.311357,1.09038,5.11175,0.008222495860656,0.07172006,2.3172936642662125,9.303
12557,213.510072666604,42.1724658607903,117.9466,121.0428,48.4069,0.291033,1.40365,11.3335,0.0057548104418111996,0.1134835,2.445944137269799,9.982
12612,136.26635876333,0.933417699713704,119.8329,120.4498,65.8368,0.328473,1.64811,5.92683,0.009395683684464,0.03637451,1.4001463979727842,9.24
12646,144.270489426254,0.0694806043688205,119.3103,119.8603,68.3823,0.238031,0.914297,4.74693,0.009399430327055999,0.06771739,2.5128522082865574,9.761
12684,203.871539057294,-0.934897280253726,120.2481,119.928,-29.8706,0.131768,1.37194,3.08809,0.009951082724352,0.07215717,2.8201235641448577,
12712,183.951421973709,1.60802375567783,119.6358,119.8196,-42.2048,0.189561,1.18501,9.51304,0.0064601566341312,0.07140279,1.813234278148675,9.566
12715,353.506120608409,-0.314553370750733,119.582,120.4342,47.2164,0.555673,1.59051,2.51869,0.013238110008815999,0.04656312,2.4946925219306815,
12828,144.002475825565,1.31692244131218,119.8634,119.5729,-37.0138,0.10995,0.738934,6.67111,0.008235853455984,0.06195411,2.028458166445122,9.456
12832,171.438719990174,-1.55283516875473,119.25,121.5993,38.0452,0.427827,0.74871,6.45655,0.010223121556032002,0.06277878,2.5488425589280546,9.787
12835,223.988696400606,-1.54738825939193,119.4102,119.9443,-30.722,0.181191,1.06295,14.708,0.0047148890660256,0.09907561,1.7788431139844203,10.16
12849,142.982928608488,1.70476707804269,119.7304,120.4274,39.5107,0.349757,1.01979,8.04168,0.009512236848576,0.03116706,1.2217450968707673,9.243
12889,204.062134265136,-1.58921788465055,119.9122,120.4323,24.5945,0.249952,0.920805,5.16091,0.0079121516809104,0.05028034,1.602942156130705,
13034,171.7066855139,-1.44424651868977,119.8775,120.2799,-3.90606,0.441665,1.07707,6.72585,0.012111185076144,0.07555289,3.5799549541908258,9.835
13092,355.612154498867,0.632750045853857,120.2545,120.2184,4.52342,0.191998,2.6322,9.4198,0.006379693412030401,0.06006883,1.5270574539083472,9.398
13109,222.022421282705,-1.18269137235429,120.1264,120.2608,123.473,0.0862765,1.71972,26.1566,0.004814989582233599,0.02741167,0.5463462196715261,-99.0
13128,218.928935601564,-0.292870198406697,119.7306,119.6567,-10.0082,0.459278,1.16054,31.8175,0.0058594883778816,0.05694406,1.3342054935150958,9.545
13222,340.276851837819,0.1656859340885,120.4235,120.4528,82.5632,6.57628E-7,1.81447,2.43534,0.007707853776268801,0.08624331,2.568607719724036,9.809
13294,7.30282785270969,-0.266982866707329,120.2466,120.3554,-21.9632,0.389361,1.29414,7.02291,0.00854356684104,0.06597939,2.2300289206825994,9.806
13295,212.546945688094,0.865838442659713,120.7504,120.1658,14.7497,0.354548,0.882015,3.90171,0.01060340577912,0.02554381,1.123753270938229,8.663
13364,208.279473367915,0.442181400371743,119.9901,120.1476,7.20036,0.421071,1.76451,7.43937,0.011680891319328,0.02500002,1.2124237046167612,
13369,232.539340553682,44.7871339461568,120.238,119.1653,-48.6744,0.345017,0.894987,5.87665,0.010886195846064,0.07121297,3.0480786013708925,9.752
13490,149.532470624803,3.29643834077143,119.4438,119.8617,-69.649,6.4405E-7,0.551345,6.46229,0.0076462622300064,0.07217179,2.1673431473502487,9.896
13500,233.085290959966,43.375005986563,121.1334,118.8712,0.969941,0.0718421,1.00748,10.7003,0.0060034083226656,0.05204714,1.256395557789561,9.406
13623,208.260782381129,-0.238441511254594,120.7554,120.0075,58.7279,0.194634,1.32803,10.9318,0.007864178365982398,0.03234868,1.0469384979994578,9.225
13630,7.78063982567363,0.348610253921194,120.1434,119.3923,-70.0,0.35123,1.21674,7.74419,0.0072507796697952,0.06829429,1.9536136523808916,9.438
13675,131.276987357755,2.77096507582292,120.1953,120.7199,-53.113,0.00139618,0.999461,14.4279,0.004071704561232,0.1349234,2.008342893347967,10.184
13955,353.682714928512,-0.764610116161626,119.5376,119.5074,-1.13945,0.43428,1.48101,8.32228,0.0077899541182847995,0.03783825,1.2056354200035522,9.392
14039,193.634672201823,3.06989347868727,119.096,123.5162,2.05613,0.604329,0.685959,10.0786,0.011668103865263998,0.05166507,2.4250522454799426,9.708
14042,241.503126857969,43.8341303963194,119.8776,119.1881,-37.9029,0.387709,0.962159,4.7863,0.010016078828447999,0.1096741,4.131954484328569,10.047
14232,213.495323010202,43.8929916887574,120.1315,119.6708,23.6036,0.377971,1.72466,7.61734,0.011035491408480001,0.04034506,1.8160119625426838,9.578
14248,177.430191219034,-0.749940455655768,119.5331,119.7751,-77.4034,0.429755,1.19788,5.8318,0.009176586541584,0.1209676,4.122944272578177,10.1
14255,30.6612540185256,-0.786942203278415,122.2011,121.1744,104.829,0.583364,1.04432,5.21333,0.01043114166864,0.03373327,1.4458332788070838,8.341
14278,167.627619530023,1.61065300546907,123.1653,120.2128,-66.5918,0.201269,0.859382,3.88138,0.009203464629744,0.1421642,4.744829163959132,10.561
14294,234.104693896313,44.4983095024043,119.3341,119.6481,54.1718,5.96911E-9,1.55056,12.1044,0.0051879515625168,0.03808228,0.8078919572014505,9.401
14431,145.445851854874,0.815943140539787,119.9153,119.9059,5.04336,0.136216,0.969862,11.7737,0.0068737289621615995,0.05064557,1.402081291700524,9.812
14436,350.139131490849,0.829022831879621,120.0879,120.0044,18.6805,0.152998,1.29188,6.41444,0.0061643510566176,0.05955779,1.4637977558251773,
14447,180.466267822745,-0.094326118042671,120.2594,120.6838,-24.6549,0.400887,0.917411,6.55827,0.0076918246618751995,0.07979167,2.38986761905363,9.591
14461,181.857896013118,-1.66879385059585,120.4254,119.9727,-33.9029,0.41242,1.39613,18.8485,0.0062276041574208,0.03683434,0.9392944456380762,9.34
14491,237.722728740839,43.2628495111858,120.4405,118.9621,-69.8988,9.62632E-4,1.04165,5.42675,0.008161083501647999,0.09601315,2.994026674091024,10.016
14564,222.114280031671,0.201356927987876,119.5498,119.7206,-74.069,2.50958E-6,1.31002,8.1162,0.0058368211902,0.02689551,0.6502304434663987,8.881
14736,339.601053773508,0.437321500129789,120.0087,119.1141,7.70766,0.54942,0.537089,5.23207,0.010412571353184,0.1192543,4.6210030971107905,
14766,132.24300665059,3.83304484108555,121.0792,118.3425,-14.01,0.155536,0.760434,6.73287,0.008068907949009598,0.05901459,1.8997194483816997,
14822,152.567065917467,1.77942128553226,120.7893,120.2218,48.4649,1.36729E-8,0.70138,5.76933,0.007328677256208,0.1007573,2.806511011941729,9.973
14863,218.432723157024,0.987332435901117,119.8702,119.3616,6.27774,0.556888,0.98321,9.47101,0.0079666327511232,0.05050265,1.6206935314106639,9.482
14955,181.938464832638,-2.17608242848444,119.4092,120.2147,59.6011,0.233225,0.678861,11.6924,0.0065045543488464,0.06097123,1.5785525763854238,9.485
15066,136.662564052447,2.15141465971433,119.4023,120.5921,6.85357,0.078915,1.93084,3.28582,0.007557214309444799,0.1839831,4.814283123155826,10.121
15093,191.813748006737,0.635269566056864,117.6441,119.3873,15.9026,0.34734,0.764761,3.64551,0.011233819119599999,0.07282407,3.210616771866782,9.641
15101,160.640546881027,0.939583192683648,119.8917,120.0875,55.1838,0.522344,1.31814,6.22659,0.013528719155952,0.02828352,1.5822285866974877,8.823
15133,359.689351128154,-0.423959778316538,120.0272,119.5825,84.1967,0.0802055,1.18375,12.0528,0.0063933034984896,0.09014101,2.2167556483652544,10.001
